M_high_4	M_high_5	M_high_6	M_LV_4	M_LV_5	M_LV_6	M231_high_4	M231_high_5	M231_LV_4	M231_LV_5	P_high_4	P_high_5	P_high_6	P_LV_4	P_LV_5	P_LV_6
ENSG00000223972	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227232	406	264	602	538	547	657	250	401	293	258	353	571	302	467	510	372
ENSG00000243485	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	2	1	0	0	0	0	2	2	4	2	0	0	1	3	2	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	12	19	19	9	12	25	13	18	14	18	5	1	5	7	6	2
ENSG00000237683	213	100	340	338	246	286	274	443	310	217	28	44	35	78	52	16
ENSG00000268903	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0
ENSG00000269981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239906	3	1	3	5	2	3	0	2	2	0	0	0	0	0	0	1
ENSG00000241860	15	5	17	12	27	18	27	50	26	30	5	1	9	10	12	5
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000228463	23	23	32	41	36	48	24	23	24	32	18	38	14	26	18	17
ENSG00000241670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	5	6	18	12	5	12	6	4	6	5	1	2	3	2	1	3
ENSG00000250575	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236743	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231709	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000235146	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000239664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
ENSG00000223659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	41	23	57	52	30	68	8	9	3	4	17	41	3	26	36	10
ENSG00000225630	6074	3536	9078	8322	6376	10827	1999	1325	2577	1207	2066	2997	2090	4657	5267	2287
ENSG00000237973	1031	620	2101	2091	1256	2103	3339	3166	4135	2368	617	1632	470	1337	1343	549
ENSG00000229344	112	66	226	229	138	174	25	13	28	10	46	77	37	111	100	29
ENSG00000240409	2	3	7	7	6	3	4	2	4	2	2	1	1	1	1	1
ENSG00000248527	30070	16734	60157	58403	37581	55603	10286	9104	12927	6866	10451	14809	6965	22324	23428	8517
ENSG00000198744	403	200	655	941	464	597	27	33	27	13	12	58	17	57	80	21
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	8	8	4	5	8	4	2	4	2	3	7	0	5	4	1	1
ENSG00000224956	252	96	450	211	209	241	43	50	40	29	91	108	98	150	96	61
ENSG00000235373	13	7	6	3	12	10	9	7	7	9	14	0	12	24	11	7
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240618	8	5	3	0	8	2	3	5	3	4	4	3	2	4	2	3
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	58	68	69	45	64	64	20	30	23	21	51	8	56	84	94	48
ENSG00000237491	50	59	95	47	63	74	4	12	12	11	27	35	21	42	44	13
ENSG00000230092	2	3	2	4	5	8	2	2	0	2	5	1	4	7	7	5
ENSG00000269831	6	0	2	2	1	3	0	0	0	0	0	1	0	1	0	0
ENSG00000240453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177757	3	8	3	3	1	4	0	6	2	4	6	2	6	8	9	5
ENSG00000225880	77	71	99	85	123	98	25	31	26	27	36	36	17	43	64	37
ENSG00000228794	369	341	289	347	356	375	427	371	536	415	445	502	714	695	527	592
ENSG00000230368	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000234711	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	34	15	106	56	58	75	0	2	1	0	21	37	12	12	32	14
ENSG00000230699	164	105	450	238	256	306	7	8	8	5	49	45	49	65	139	46
ENSG00000241180	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	227	81	632	295	295	400	4	4	9	6	719	1883	556	793	1747	371
ENSG00000187634	11	6	9	32	48	3	18	29	6	19	873	1259	866	778	1656	519
ENSG00000268179	0	0	2	0	1	0	0	0	0	0	8	1	5	14	27	4
ENSG00000188976	9387	10494	5786	9178	10294	5673	5954	5025	6870	5334	10699	7170	9563	13699	8296	13592
ENSG00000187961	3249	2012	3619	3861	3500	2169	991	1223	1160	1004	1250	2183	1138	2038	5357	1575
ENSG00000187583	338	233	309	614	700	234	355	366	404	301	475	307	436	582	760	639
ENSG00000187642	91	51	83	141	160	53	82	57	83	69	102	147	68	140	161	157
ENSG00000272512	70	42	87	98	69	21	30	34	31	28	40	82	33	44	49	43
ENSG00000188290	113	69	192	123	92	37	135	151	134	111	424	967	691	437	785	735
ENSG00000231702	1	2	3	2	4	2	1	0	0	3	1	4	1	1	3	7
ENSG00000224969	11	5	16	2	0	3	0	1	0	3	2	13	3	3	8	4
ENSG00000187608	423	283	698	938	568	275	2501	2562	2589	2234	1277	1463	1659	1007	1277	901
ENSG00000188157	12051	10895	20522	20389	25117	19759	15049	21058	14986	13744	15572	9541	11889	16952	19143	11782
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	175	117	312	350	426	272	251	287	257	261	252	344	222	306	349	280
ENSG00000273443	36	8	30	42	59	24	26	40	33	21	15	12	16	30	39	17
ENSG00000237330	2	0	3	2	3	0	3	5	9	5	47	103	38	18	29	42
ENSG00000131591	1009	668	1417	1260	1171	1282	703	701	780	595	1269	1360	1048	1289	1262	1216
ENSG00000223823	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0
ENSG00000272141	3	0	1	0	0	1	1	1	2	2	0	0	1	1	2	0
ENSG00000205231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000162571	1	0	3	0	3	0	0	0	0	0	3	0	1	0	0	0
ENSG00000186891	1	0	1	0	1	2	10	19	9	10	193	234	144	134	186	116
ENSG00000186827	15	14	14	9	11	15	1	0	1	1	14	4	6	10	8	6
ENSG00000078808	10497	9638	10662	13624	12658	11079	4431	5063	4857	4209	14020	13016	13254	14154	17308	11866
ENSG00000176022	1353	1337	1738	1772	1868	1861	672	864	816	851	1974	3021	2357	2287	2498	2360
ENSG00000184163	82	30	154	121	87	106	8	9	4	12	257	568	310	493	1111	359
